"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.528448100E-2,1.005521491E-1,9.971421242E0,-1.223384500E0
1.768745000E-2,1.005521491E-1,9.971421242E0,-1.223384500E0
2.010323100E-2,1.268872321E-1,9.957056999E0,-1.218596220E0
2.253187700E-2,1.412518322E-1,9.937904358E0,-1.170714259E0
2.496052300E-2,1.556164175E-1,9.904387474E0,-1.122832298E0
2.738916900E-2,1.843456030E-1,9.863686562E0,-1.065374017E0
2.981781500E-2,1.987102032E-1,9.825381279E0,-9.791863561E-1
3.224646000E-2,1.939219981E-1,9.784682274E0,-9.073634148E-1
3.467510600E-2,1.819514930E-1,9.755951881E0,-8.666637540E-1
3.710375200E-2,1.723751128E-1,9.748769760E0,-8.115994930E-1
3.953239800E-2,1.627987176E-1,9.748769760E0,-7.804762125E-1
4.196104400E-2,1.388577372E-1,9.755951881E0,-8.092053533E-1
4.438969000E-2,1.173108369E-1,9.787075996E0,-8.570873737E-1
4.681833500E-2,1.077344418E-1,9.825381279E0,-9.145457745E-1
4.924698100E-2,8.139935881E-2,9.851716042E0,-9.720040560E-1
5.167562700E-2,6.942886859E-2,9.880446434E0,-1.022280216E0
5.410427300E-2,8.139935881E-2,9.918750763E0,-1.077344418E0
5.653291900E-2,8.618755639E-2,9.937904358E0,-1.118044138E0
5.896156500E-2,1.077344418E-1,9.933115959E0,-1.137196898E0
6.139021000E-2,1.412518322E-1,9.928327560E0,-1.156349778E0
6.381848900E-2,1.651928127E-1,9.894809723E0,-1.185078859E0
6.624713500E-2,1.867396981E-1,9.842140198E0,-1.151561499E0
6.867578100E-2,1.963160932E-1,9.806227684E0,-1.074950337E0
7.110437500E-2,2.106806934E-1,9.777499199E0,-1.017491937E0
7.353302100E-2,2.082865983E-1,9.743982315E0,-9.456689954E-1
7.596166600E-2,1.915279031E-1,9.729617119E0,-8.714519143E-1
7.839031200E-2,1.819514930E-1,9.717646599E0,-8.475109339E-1
8.081895800E-2,1.747692078E-1,9.717646599E0,-8.451168537E-1
8.324760400E-2,1.795574129E-1,9.734406471E0,-8.211758733E-1
8.567625000E-2,1.891337931E-1,9.741587639E0,-8.331463933E-1
8.810489600E-2,1.795574129E-1,9.763134956E0,-8.618755341E-1
9.053354100E-2,1.675869077E-1,9.784682274E0,-9.097574949E-1
9.296218700E-2,1.675869077E-1,9.820592880E0,-9.720040560E-1
9.539083300E-2,1.723751128E-1,9.861292839E0,-1.015097857E0
9.781947900E-2,1.915279031E-1,9.880446434E0,-1.048615217E0
1.002481250E-1,1.843456030E-1,9.901991844E0,-1.065374017E0
1.026763540E-1,1.843456030E-1,9.916357040E0,-1.074950337E0
1.051049990E-1,2.058925033E-1,9.913963318E0,-1.067767978E0
1.075336450E-1,2.011042982E-1,9.904387474E0,-1.041432977E0
1.099622910E-1,1.939219981E-1,9.880446434E0,-1.007915616E0
1.123909370E-1,1.987102032E-1,9.844533920E0,-9.672158957E-1
1.148195830E-1,2.058925033E-1,9.822986603E0,-9.217280149E-1
1.172482290E-1,2.130747885E-1,9.794258118E0,-8.882106543E-1
1.196768740E-1,2.082865983E-1,9.760741234E0,-8.594814539E-1
1.221055200E-1,2.058925033E-1,9.746376038E0,-8.403286934E-1
1.245341660E-1,2.011042982E-1,9.736800194E0,-8.259640336E-1
1.269628120E-1,2.034983933E-1,9.748769760E0,-8.283581734E-1
1.293914580E-1,2.154688835E-1,9.763134956E0,-8.522991538E-1
1.318201040E-1,2.130747885E-1,9.779892921E0,-8.786342740E-1
1.342294270E-1,2.130747885E-1,9.803833961E0,-9.145457745E-1
1.366160410E-1,2.130747885E-1,9.822986603E0,-9.432749152E-1
1.389973960E-1,2.154688835E-1,9.849322319E0,-9.767923355E-1
1.413788020E-1,2.250452787E-1,9.868474960E0,-1.024674296E0
1.437583850E-1,2.274393737E-1,9.873263359E0,-1.039038897E0
1.461390100E-1,2.106806934E-1,9.880446434E0,-1.034250736E0
1.485204160E-1,1.915279031E-1,9.885233879E0,-1.024674296E0
1.509018220E-1,1.939219981E-1,9.866081238E0,-9.959450364E-1
1.532823950E-1,1.987102032E-1,9.837351799E0,-9.767923355E-1
1.556630200E-1,1.987102032E-1,9.830168724E0,-9.528512955E-1
1.580443740E-1,2.106806934E-1,9.813410759E0,-9.217280149E-1
1.604257810E-1,2.322275788E-1,9.775105476E0,-8.834224343E-1
1.628064060E-1,2.441980839E-1,9.767923355E0,-8.762401342E-1
1.651870310E-1,2.394098788E-1,9.770317078E0,-9.289103150E-1
1.675683850E-1,2.274393737E-1,9.765528679E0,-9.360926151E-1
1.699497910E-1,2.274393737E-1,9.772710800E0,-9.097574949E-1
1.723303640E-1,2.298334837E-1,9.801440239E0,-9.049693346E-1
1.747109890E-1,2.322275788E-1,9.806227684E0,-1.046221137E0
1.770923950E-1,2.202570736E-1,9.856505394E0,-1.199443460E0
1.794738010E-1,1.987102032E-1,9.899598122E0,-1.189867139E0
1.818543740E-1,1.939219981E-1,9.913963318E0,-1.055797458E0
1.842346340E-1,1.819514930E-1,9.949873924E0,-9.648218155E-1
1.866159880E-1,1.867396981E-1,9.937904358E0,-9.791863561E-1
1.889973950E-1,1.915279031E-1,9.901991844E0,-9.456689954E-1
1.913780200E-1,1.867396981E-1,9.844533920E0,-9.576395154E-1
1.937586450E-1,1.915279031E-1,9.806227684E0,-9.672158957E-1
1.961399990E-1,2.034983933E-1,9.775105476E0,-9.336984754E-1
1.985214050E-1,2.034983933E-1,9.755951881E0,-9.313044548E-1
2.009023430E-1,2.106806934E-1,9.751164436E0,-9.313044548E-1
