"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.142603749E0,3.518698143E1,1.371058093E2,1.386129794E2,0.000000000E0,0.000000000E0,5.360000134E0,1.200000000E1
1.838253853E0,3.518698144E1,1.371058093E2,1.386127963E2,0.000000000E0,0.000000000E0,5.360000134E0,1.200000000E1
2.861010051E0,3.518698724E1,1.371058066E2,1.379493472E2,0.000000000E0,0.000000000E0,3.216000080E0,6.000000000E0
3.852267706E0,3.518698965E1,1.371058047E2,1.377323096E2,0.000000000E0,0.000000000E0,3.216000080E0,6.000000000E0
4.848651144E0,3.518699130E1,1.371058038E2,1.374753528E2,0.000000000E0,0.000000000E0,3.216000080E0,6.000000000E0
5.848853852E0,3.518699372E1,1.371058017E2,1.372216944E2,0.000000000E0,0.000000000E0,3.216000080E0,6.000000000E0
6.857256768E0,3.518699579E1,1.371058015E2,1.371797013E2,0.000000000E0,0.000000000E0,3.216000080E0,4.000000000E0
7.847248590E0,3.518699686E1,1.371058004E2,1.372540442E2,0.000000000E0,0.000000000E0,3.216000080E0,4.000000000E0
8.855678642E0,3.518699822E1,1.371057998E2,1.370968184E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
9.853329579E0,3.518699884E1,1.371057984E2,1.369357497E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
1.085166072E1,3.518699942E1,1.371057972E2,1.369454568E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
1.185439135E1,3.518699999E1,1.371057966E2,1.369687735E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
1.284710635E1,3.518700034E1,1.371057973E2,1.370471405E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
1.385354921E1,3.518700333E1,1.371057956E2,1.365499507E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
1.484343723E1,3.518700675E1,1.371057956E2,1.368281466E2,2.500000000E-1,3.277999878E2,3.216000080E0,3.000000000E0
1.585713484E1,3.518700904E1,1.371057936E2,1.374226937E2,5.000000000E-1,3.545000000E2,3.216000080E0,3.000000000E0
1.685150150E1,3.518702101E1,1.371057914E2,1.371758654E2,1.389999986E0,7.300000191E0,3.216000080E0,3.000000000E0
1.784939114E1,3.518703346E1,1.371057902E2,1.378625060E2,1.470000029E0,3.502000122E2,3.216000080E0,3.000000000E0
1.885282103E1,3.518704554E1,1.371057851E2,1.380953603E2,1.399999976E0,6.599999905E0,3.216000080E0,3.000000000E0
1.985025807E1,3.518706276E1,1.371057804E2,1.384619995E2,2.220000029E0,3.505000000E2,3.216000080E0,3.000000000E0
2.085399182E1,3.518708315E1,1.371057766E2,1.382181605E2,2.240000010E0,3.503999939E2,3.216000080E0,3.000000000E0
2.185486093E1,3.518710421E1,1.371057731E2,1.387448896E2,2.369999886E0,3.500000000E2,3.216000080E0,3.000000000E0
2.285360989E1,3.518712931E1,1.371057708E2,1.383371646E2,2.970000029E0,3.542000122E2,3.216000080E0,3.000000000E0
2.385228114E1,3.518715683E1,1.371057691E2,1.381646661E2,2.900000095E0,3.547000122E2,3.216000080E0,3.000000000E0
2.485488546E1,3.518718435E1,1.371057680E2,1.381390168E2,2.890000105E0,3.570000000E2,3.216000080E0,3.000000000E0
2.585298598E1,3.518721301E1,1.371057670E2,1.384371580E2,3.170000076E0,3.557999878E2,3.216000080E0,3.000000000E0
2.685027384E1,3.518724169E1,1.371057664E2,1.386635820E2,2.970000029E0,3.567999878E2,3.216000080E0,3.000000000E0
2.785876848E1,3.518727156E1,1.371057668E2,1.389412720E2,3.339999914E0,3.586000061E2,3.216000080E0,3.000000000E0
2.885490759E1,3.518730635E1,1.371057667E2,1.383261383E2,3.759999990E0,3.577999878E2,3.216000080E0,3.000000000E0
2.986796619E1,3.518734125E1,1.371057646E2,1.388772688E2,3.619999886E0,3.555000000E2,3.216000080E0,3.000000000E0
3.085109499E1,3.518737686E1,1.371057612E2,1.386268887E2,3.859999895E0,3.546000061E2,3.216000080E0,3.000000000E0
3.185601254E1,3.518741590E1,1.371057588E2,1.385311671E2,4.260000229E0,3.573999939E2,3.216000080E0,3.000000000E0
3.285494738E1,3.518745618E1,1.371057576E2,1.383417526E2,4.260000229E0,3.582000122E2,3.216000080E0,3.000000000E0
3.385441348E1,3.518749610E1,1.371057568E2,1.378009581E2,4.260000229E0,3.582999878E2,3.216000080E0,3.000000000E0
3.484958014E1,3.518753750E1,1.371057535E2,1.376744144E2,4.650000095E0,3.547000122E2,3.216000080E0,3.000000000E0
3.584543868E1,3.518758191E1,1.371057491E2,1.373585405E2,4.880000114E0,3.562000122E2,3.216000080E0,3.000000000E0
3.685039186E1,3.518762606E1,1.371057442E2,1.372618453E2,4.789999962E0,3.552999878E2,3.216000080E0,3.000000000E0
3.785445592E1,3.518766805E1,1.371057402E2,1.372065309E2,4.539999962E0,3.561000061E2,3.216000080E0,3.000000000E0
3.884709806E1,3.518771880E1,1.371057324E2,1.369324707E2,5.340000153E0,3.547999878E2,3.216000080E0,3.000000000E0
3.985342384E1,3.518776758E1,1.371057300E2,1.372050899E2,5.179999828E0,3.562999878E2,3.216000080E0,3.000000000E0
4.085351076E1,3.518781563E1,1.371057266E2,1.373488671E2,5.179999828E0,3.565000000E2,3.216000080E0,3.000000000E0
4.185234217E1,3.518786576E1,1.371057213E2,1.371142906E2,5.570000172E0,3.541000061E2,3.216000080E0,3.000000000E0
4.285598868E1,3.518791755E1,1.371057132E2,1.369204306E2,5.780000210E0,3.518999939E2,3.216000080E0,3.000000000E0
4.385007186E1,3.518796778E1,1.371057032E2,1.362939593E2,5.760000229E0,3.517999878E2,3.216000080E0,3.000000000E0
4.484752962E1,3.518801735E1,1.371056988E2,1.370051207E2,5.750000000E0,3.545000000E2,3.216000080E0,3.000000000E0
4.585667493E1,3.518806434E1,1.371056940E2,1.368051520E2,5.420000076E0,3.543999939E2,3.216000080E0,3.000000000E0
4.685526774E1,3.518812337E1,1.371056859E2,1.370316364E2,6.059999943E0,3.536000061E2,3.216000080E0,3.000000000E0
4.785626925E1,3.518817411E1,1.371056748E2,1.370921183E2,6.119999886E0,3.485000000E2,3.216000080E0,3.000000000E0
4.885018430E1,3.518822636E1,1.371056586E2,1.371001824E2,6.170000076E0,3.486000061E2,3.216000080E0,3.000000000E0
4.985273196E1,3.518827992E1,1.371056488E2,1.377490990E2,6.010000229E0,3.496000061E2,3.216000080E0,3.000000000E0
5.084933050E1,3.518833504E1,1.371056368E2,1.373167823E2,6.050000191E0,3.497000122E2,3.216000080E0,3.000000000E0
5.184926409E1,3.518839267E1,1.371056218E2,1.374316518E2,6.320000172E0,3.467000122E2,3.216000080E0,3.000000000E0
5.285169810E1,3.518845222E1,1.371056091E2,1.372382255E2,6.539999962E0,3.512000122E2,3.216000080E0,3.000000000E0
5.385573092E1,3.518851191E1,1.371056009E2,1.371397588E2,6.440000057E0,3.532999878E2,3.216000080E0,3.000000000E0
5.486620925E1,3.518857270E1,1.371055897E2,1.364794092E2,6.500000000E0,3.488999939E2,3.216000080E0,3.000000000E0
5.585664800E1,3.518862927E1,1.371055690E2,1.364243718E2,6.289999962E0,3.432000122E2,3.216000080E0,3.000000000E0
5.686077847E1,3.518868509E1,1.371055538E2,1.362833834E2,6.090000153E0,3.460000000E2,3.216000080E0,3.000000000E0
5.785653420E1,3.518873585E1,1.371055388E2,1.359216947E2,5.900000095E0,3.492999878E2,3.216000080E0,3.000000000E0
5.885081342E1,3.518878799E1,1.371055261E2,1.358444840E2,5.489999771E0,3.496000061E2,3.216000080E0,3.000000000E0
5.985201841E1,3.518883685E1,1.371055145E2,1.354911498E2,5.429999828E0,3.465000000E2,3.216000080E0,3.000000000E0
6.084981305E1,3.518888326E1,1.371055008E2,1.352939503E2,5.349999905E0,3.472999878E2,3.216000080E0,3.000000000E0
6.185522737E1,3.518892718E1,1.371054895E2,1.349722346E2,5.019999981E0,3.495000000E2,3.216000080E0,3.000000000E0
6.284949841E1,3.518897291E1,1.371054759E2,1.348748278E2,5.090000153E0,3.432999878E2,3.216000080E0,3.000000000E0
6.385209930E1,3.518901538E1,1.371054615E2,1.347574055E2,4.860000134E0,3.441000061E2,3.216000080E0,3.000000000E0
6.485227498E1,3.518905748E1,1.371054516E2,1.346188539E2,4.659999847E0,3.492999878E2,3.216000080E0,3.000000000E0
6.585421159E1,3.518909744E1,1.371054432E2,1.347609396E2,4.500000000E0,3.498999939E2,3.216000080E0,3.000000000E0
6.685012727E1,3.518913742E1,1.371054303E2,1.346841037E2,4.530000210E0,3.453999939E2,3.216000080E0,3.000000000E0
6.785368800E1,3.518917612E1,1.371054169E2,1.347904359E2,4.489999771E0,3.413999939E2,3.216000080E0,3.000000000E0
6.885014862E1,3.518921495E1,1.371054030E2,1.346690473E2,4.539999962E0,3.456000061E2,3.216000080E0,3.000000000E0
6.985061898E1,3.518925517E1,1.371053892E2,1.351105851E2,4.480000019E0,3.462000122E2,3.216000080E0,3.000000000E0
