x(m/s),y(m/s),z(m/s),t(s)
0.1005521491,9.971421242,-1.2233845,0.015284481
0.1005521491,9.971421242,-1.2233845,0.01768745
0.1268872321,9.957056999,-1.21859622,0.020103231
0.1412518322,9.937904358,-1.170714259,0.022531877
0.1556164175,9.904387474,-1.122832298,0.024960523
0.184345603,9.863686562,-1.065374017,0.027389169
0.1987102032,9.825381279,-0.9791863561,0.029817815
0.1939219981,9.784682274,-0.9073634148,0.03224646
0.181951493,9.755951881,-0.866663754,0.034675106
0.1723751128,9.74876976,-0.811599493,0.037103752
0.1627987176,9.74876976,-0.7804762125,0.039532398
0.1388577372,9.755951881,-0.8092053533,0.041961044
0.1173108369,9.787075996,-0.8570873737,0.04438969
0.1077344418,9.825381279,-0.9145457745,0.046818335
0.08139935881,9.851716042,-0.972004056,0.049246981
0.06942886859,9.880446434,-1.022280216,0.051675627
0.08139935881,9.918750763,-1.077344418,0.054104273
0.08618755639,9.937904358,-1.118044138,0.056532919
0.1077344418,9.933115959,-1.137196898,0.058961565
0.1412518322,9.92832756,-1.156349778,0.06139021
0.1651928127,9.894809723,-1.185078859,0.063818489
0.1867396981,9.842140198,-1.151561499,0.066247135
0.1963160932,9.806227684,-1.074950337,0.068675781
0.2106806934,9.777499199,-1.017491937,0.071104375
0.2082865983,9.743982315,-0.9456689954,0.073533021
0.1915279031,9.729617119,-0.8714519143,0.075961666
0.181951493,9.717646599,-0.8475109339,0.078390312
0.1747692078,9.717646599,-0.8451168537,0.080818958
0.1795574129,9.734406471,-0.8211758733,0.083247604
0.1891337931,9.741587639,-0.8331463933,0.08567625
0.1795574129,9.763134956,-0.8618755341,0.088104896
0.1675869077,9.784682274,-0.9097574949,0.090533541
0.1675869077,9.82059288,-0.972004056,0.092962187
0.1723751128,9.861292839,-1.015097857,0.095390833
0.1915279031,9.880446434,-1.048615217,0.097819479
0.184345603,9.901991844,-1.065374017,0.100248125
0.184345603,9.91635704,-1.074950337,0.102676354
0.2058925033,9.913963318,-1.067767978,0.105104999
0.2011042982,9.904387474,-1.041432977,0.107533645
0.1939219981,9.880446434,-1.007915616,0.109962291
0.1987102032,9.84453392,-0.9672158957,0.112390937
0.2058925033,9.822986603,-0.9217280149,0.114819583
0.2130747885,9.794258118,-0.8882106543,0.117248229
0.2082865983,9.760741234,-0.8594814539,0.119676874
0.2058925033,9.746376038,-0.8403286934,0.12210552
0.2011042982,9.736800194,-0.8259640336,0.124534166
0.2034983933,9.74876976,-0.8283581734,0.126962812
0.2154688835,9.763134956,-0.8522991538,0.129391458
0.2130747885,9.779892921,-0.878634274,0.131820104
0.2130747885,9.803833961,-0.9145457745,0.134229427
0.2130747885,9.822986603,-0.9432749152,0.136616041
0.2154688835,9.849322319,-0.9767923355,0.138997396
0.2250452787,9.86847496,-1.024674296,0.141378802
0.2274393737,9.873263359,-1.039038897,0.143758385
0.2106806934,9.880446434,-1.034250736,0.14613901
0.1915279031,9.885233879,-1.024674296,0.148520416
0.1939219981,9.866081238,-0.9959450364,0.150901822
0.1987102032,9.837351799,-0.9767923355,0.153282395
0.1987102032,9.830168724,-0.9528512955,0.15566302
0.2106806934,9.813410759,-0.9217280149,0.158044374
0.2322275788,9.775105476,-0.8834224343,0.160425781
0.2441980839,9.767923355,-0.8762401342,0.162806406
0.2394098788,9.770317078,-0.928910315,0.165187031
0.2274393737,9.765528679,-0.9360926151,0.167568385
0.2274393737,9.7727108,-0.9097574949,0.169949791
0.2298334837,9.801440239,-0.9049693346,0.172330364
0.2322275788,9.806227684,-1.046221137,0.174710989
